                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7014,                 5.3544,                 2.4506,                0.00037,                0.02559,                0.00024,                  4e-05,                 3.9574,                 5.6597,                 3.0424,              0.0003657,              0.0003657,              0.0003657
                      2,                    nan,                    nan,                    nan,                0.00037,                0.02559,                0.00024,                  4e-05,                    nan,                    nan,                    nan,             0.00072875,             0.00072875,             0.00072875
